Front,Back
Side fall,Yoko ukemi
Koho ukemi,Back fall
Back fall,Koho ukemi
Mae ukemi,Forward fall on the forearms
Forward fall on the forearms,Mae ukemi
Tsugi ashi,Following foot walking
Following foot walking,Tsugi ashi
Ayumi ashi,Normal walking
Normal walking,Ayumi ashi
Tai sabaki,Right and left
Right and left,Tai sabaki
Kiyotsuke,Attention!
Attention!,Kiyotsuke
Rei,Bow
Bow,Rei
Hajime,Begin
Begin,Hajime
Matte,Stop
Stop,Matte
Dojo,Practice hall for judo
Practice hall for judo,Dojo
Sensei,Teacher
Teacher,Sensei
Seiza,Sitting in the kneeling position
Sitting in the kneeling position,Seiza
Anza,Sitting cross-legged
Sitting cross-legged,Anza
Judogi/gi,Judo uniform
Judo uniform,Judogi/gi
Judoka,Judo practitioner or player
Judo practitioner or player,Judoka
Kata,Formal prearranged routine practice
Formal prearranged routine practice,Kata
Shiai,Tournament
Tournament,Shiai
Tatami,Judo mats (straw)
Judo mats (straw),Tatami
Osaekomi,Hold down
Hold down,Osaekomi
Toketa,Hold broken
Hold broken,Toketa
Ippon,One point
One point,Ippon
Wazari,Almost Ippon (half a point)
Almost Ippon (half a point),Wazari
Sore made,That is all
That is all,Sore made
Rokyu,Sixth class (kyu) judo rank (white belt)
Sixth class (kyu) judo rank (white belt),Rokyu
Gokyu,Fifth class (kyu) judo rank (yellow belt)
Fifth class (kyu) judo rank (yellow belt),Gokyu
Tori,Person performing technique
Person performing technique,Tori
Uke,Person receiving technique
Person receiving technique,Uke
Hidari,Left
Left,Hidari
Migi,Right
Right,Migi
Hai,Yes
Yes,Hai
Randori,Free practice
Free practice,Randori
Onegai shimasu,Please
Please,Onegai shimasu
Domo arigato,Thank you
Thank you,Domo arigato
What is the name of your judo organization?,USA Judo
Who was the founder of judo?,Dr. Jigoro Kano
What is the name of the school Dr. Kano founded?,The Kodokan
What is the date of the founding of Kodokan judo?,1882
What was unarmed combat called in Japan before judo?,Jujitsu
How long has unarmed combat martial arts been practiced in Japan?,About 600 to 1000 years
One through ten in Japanese,"Ichi, ni, san, shi, go, roku, shichi, hachi, ku, ju"
One,Ichi
Ichi,One
Two,Ni
Ni,Two
Three,San
San,Three
Four,Shi
Shi,Four
Five,Go
Go,Five
Six,Roku
Roku,Six
Seven,Shichi
Shichi,Seven
Eight,Hachi
Hachi,Eight
Nine,Ku
Ku,Nine
Ten,Ju
Ju,Ten
Name the three parts of unarmed combat in English and Japanese,"Throwing techniques (Nage waza), grappling techniques (Katame waza), and striking techniques (Atemi waza)"
Name the three parts of a judo throw in English and Japanese,"Off balance (Kuzushi), entry (Tsukuri), completion (Kake)"
List the adult belt ranks in order by color,"White, yellow, orange, green, blue, brown, black (10 degrees)"
Kesa gatame,Scarf hold
Scarf hold,Kesa gatame
Kata gatame,Shoulder hold
Shoulder hold,Kata gatame
Floating hold,Uki gatame
Uki gatame,Floating hold
Kami shiho gatame,Upper four-quarter hold down
Upper four-quarter hold down,Kami shiho gatame
Kuzure kami shiho gatame,Broken upper four-quarter hold down
Broken upper four-quarter hold down,Kuzure kami shiho gatame
Yoko shiho gatame,Side four-quarter hold
Side four-quarter hold,Yoko shiho gatame
